time,chia-price
1616126400000.0,0.0
1616212800000.0,0.0
1616299200000.0,0.0
1616385600000.0,0.0
1616472000000.0,0.0
1616558400000.0,0.0
1616644800000.0,0.0
1616731200000.0,0.0
1616817600000.0,0.0
1616904000000.0,0.0
1616990400000.0,0.0
1617076800000.0,0.0
1617163200000.0,0.0
1617249600000.0,0.0
1617336000000.0,0.0
1617422400000.0,0.0
1617508800000.0,0.0
1617595200000.0,0.0
1617681600000.0,0.0
1617768000000.0,0.0
1617854400000.0,0.0
1617940800000.0,0.0
1618027200000.0,0.0
1618113600000.0,0.0
1618200000000.0,0.0
1618286400000.0,0.0
1618372800000.0,0.0
1618459200000.0,0.0
1618545600000.0,0.0
1618632000000.0,0.0
1618718400000.0,0.0
1618804800000.0,0.0
1618891200000.0,0.0
1618977600000.0,0.0
1619064000000.0,0.0
1619150400000.0,0.0
1619236800000.0,0.0
1619323200000.0,0.0
1619409600000.0,0.0
1619496000000.0,0.0
1619582400000.0,0.0
1619668800000.0,0.0
1619755200000.0,0.0
1619841600000.0,0.0
1619928000000.0,0.0
1620014400000.0,0.0
1620100800000.0,670.4414804701877
1620187200000.0,670.4414804701877
1620273600000.0,652.8008801503148
1620360000000.0,586.8800724155939
1620446400000.0,942.3163623023274
1620532800000.0,1331.1772662167066
1620619200000.0,1087.9127022770997
1620705600000.0,1124.2193434544934
1620792000000.0,970.3578321601395
1620878400000.0,1002.3075562267354
1620964800000.0,1056.5735022249326
1621051200000.0,1551.2483109215332
1621137600000.0,1541.3675399633898
1621224000000.0,1441.2063425246786
1621310400000.0,1305.0773881347475
1621396800000.0,1297.941396580449
1621483200000.0,919.434870403072
1621569600000.0,1002.4085584194361
1621656000000.0,862.4836005609417
1621742400000.0,836.5741174570858
1621828800000.0,735.0866205858243
1621915200000.0,879.3876556635705
1622001600000.0,823.1552283467221
1622088000000.0,844.1357080239923
1622174400000.0,808.842118352241
1622260800000.0,769.6617335883274
1622347200000.0,796.6568199860106
1622433600000.0,783.9487680778883
1622520000000.0,772.7819949342869
1622606400000.0,697.4419012921652
1622692800000.0,695.1171746349391
1622779200000.0,739.3695177914188
1622865600000.0,694.2747153020987
1622952000000.0,680.5926822451546
1623038400000.0,657.0555063718201
1623124800000.0,582.6089571163502
1623211200000.0,554.167069794371
1623297600000.0,556.0232865691943
1623384000000.0,517.7727145952787
1623470400000.0,434.5130058981864
1623556800000.0,416.1846804309482
1623643200000.0,416.28968602085314
1623729600000.0,434.67800909708086
1623816000000.0,421.9817692772627
1623902400000.0,412.30094220712857
1623988800000.0,418.17924513309026
1624075200000.0,396.13968216061886
1624161600000.0,389.3910779625274
1624248000000.0,348.8013695032412
1624334400000.0,241.267044502138
1624420800000.0,227.50040961454044
1624507200000.0,320.95084944767353
1624593600000.0,316.04058793363106
1624680000000.0,290.1429948492595
1624766400000.0,276.21211703278703
1624852800000.0,277.38749094599495
1624939200000.0,275.19336579253655
1625025600000.0,308.55404192847305
1625112000000.0,293.7224382765832
1625198400000.0,283.89363579058954
1625284800000.0,282.6186830529216
1625371200000.0,298.6824606209429
1625457600000.0,295.6119641792395
1625544000000.0,287.9643992207143
1625630400000.0,282.62739827282655
1625716800000.0,280.33713641047484
1625803200000.0,281.74666783680277
1625889600000.0,274.86595417156497
1625976000000.0,264.3957898897902
1626062400000.0,258.95150890935116
1626148800000.0,240.13263202522253
1626235200000.0,229.98279427093289
1626321600000.0,232.96244199166955
1626408000000.0,217.331770406344
1626494400000.0,209.11859176701967
1626580800000.0,210.3730239930562
1626667200000.0,208.0039014479726
1626753600000.0,184.5501984521873
1626840000000.0,177.0847801702643
1626926400000.0,186.84643786683966
1627012800000.0,181.28498887304082
1627099200000.0,179.62007936268628
1627185600000.0,188.2646609712183
1627272000000.0,185.4912842301071
1627358400000.0,195.0804087857197
1627444800000.0,190.82271508826597
1627531200000.0,191.36345451345161
1627617600000.0,200.67131643415627
1627704000000.0,284.5432055647592
1627790400000.0,260.1035020000317
1627876800000.0,231.3533108662428
1627963200000.0,227.2614339691708
1628049600000.0,221.4365660029435
1628136000000.0,232.4594523054726
1628222400000.0,230.7922049075255
1628308800000.0,255.6336400930672
1628395200000.0,268.1885645921086
1628481600000.0,243.86875359563754
1628568000000.0,263.0401096271298
1628654400000.0,256.5535085374376
1628740800000.0,267.5937104762953
1628827200000.0,269.8012210359459
1628913600000.0,279.0348154596416
1629000000000.0,270.80746715360095
1629086400000.0,266.5343774680869
1629172800000.0,263.65945822856406
1629259200000.0,248.41240965845617
1629345600000.0,243.74303618419464
1629432000000.0,245.2863001648924
1629518400000.0,255.37825236858333
1629604800000.0,254.8959881713743
1629691200000.0,256.4807943556079
1629777600000.0,258.7018482153248
1629864000000.0,256.82834084147856
1629950400000.0,256.2650940421344
1630036800000.0,246.30928691804002
1630123200000.0,254.01609469278876
1630209600000.0,244.7153590975596
1630296000000.0,242.75122248124222
1630382400000.0,223.45155153259302
1630468800000.0,222.4037068262247
1630555200000.0,224.14553225968675
1630641600000.0,223.12941924774086
1630728000000.0,219.79689250176708
